,Ticker,Market Cap
0,GOOG,1571443179520
1,MSFT,2577289445376
2,AAPL,2908551380992
3,ADBE,227139059712
4,LAZR,2618768384
5,OUST,212315856
6,NFLX,192023920640
7,U,16115684352
8,UPST,3078668288
9,PYPL,74116612096
10,SQ,40231632896
11,ROKU,9952091136
12,NKE,174586675200
13,CROX,6819703296
14,AMZN,1287579631616
15,SHOP,82761498624
16,SE,35308556288
17,SPOT,30944946176
18,HUBS,25778370560
19,TTD,37362802688
20,TDOC,4075408128
21,ENPH,24915970048
22,CHPT,3137419520
23,EVGO,1307556992
24,TSLA,825781518336
25,META,728921079808
