,Ticker,Market Cap
0,"AAPL,",2846265704448
1,"ABBV,",243789578240
2,"ABT,",176833839104
3,"ACN,",195123396608
4,"ADBE,",208249798656
5,"AIG,",41167073280
6,"AMD,",201166176256
7,"AMGN,",116889370624
8,"AMT,",88557502464
9,"AMZN,",1274846773248
10,"AVGO,",332054593536
11,"AXP,",127629352960
12,"BA,",130732384256
13,"BAC,",233257025536
14,BK,35061223424
15,"BKNG,",96254017536
16,"BLK,",102497804288
17,"BMY,",136135090176
18,"BRK.B,",733772120064
19,"C,",94028021760
20,"CAT,",121356795904
21,"CHTR,",49460879360
22,"CL,",62914433024
23,"CMCSA,",167712030720
24,"COF,",42567553024
25,"COP,",126499577856
26,"COST,",229231607808
27,"CRM,",209711939584
28,"CSCO,",202367483904
29,CVS,91998470144
30,"CVX,",300982501376
31,"DHR,",173679280128
32,"DIS,",167983693824
33,"DOW,",36596477952
34,"DUK,",70530072576
35,"EMR,",48120299520
36,"EXC,",39862329344
37,"F,",54970580992
38,"FDX,",56556679168
39,"GD,",58233303040
40,"GE,",115896762368
41,"GILD,",97442988032
42,"GM,",50364043264
43,"GOOG,",1622621159424
44,GS,111709175808
45,"HD,",298949738496
46,"HON,",131730817024
47,"IBM,",122858487808
48,"INTC,",130719145984
49,"JNJ,",415822774272
50,"JPM,",412072083456
51,"KHC,",45990838272
52,"KO,",261507350528
53,"LIN,",176627007488
54,"LLY,",423413743616
55,"LMT,",117177630720
56,"LOW,",123325587456
57,"MA,",353500463104
58,"MCD,",209383669760
59,MDLZ,99537649664
60,"MDT,",111428722688
61,"MET,",41254776832
62,"META,",695779917824
63,"MMM,",55112032256
64,"MO,",80719511552
65,"MRK,",280919965696
66,"MS,",144147431424
67,"MSFT,",2429843668992
68,"NEE,",149874720768
69,"NFLX,",186716094464
70,"NKE,",162705752064
71,"NVDA,",957619109888
72,"ORCL,",296573042688
73,"PEP,",251221770240
74,PFE,219997732864
75,"PG,",345437503488
76,"PM,",143718187008
77,"PYPL,",71696719872
78,"QCOM,",132688543744
79,"RTX,",145149640704
80,"SBUX,",112301342720
81,"SCHW,",100102193152
82,"SO,",77701906432
83,"SPG,",41432461312
84,"T,",114026553344
85,"TGT,",58613501952
86,"TMO,",199872905216
87,"TMUS,",157617553408
88,"TSLA,",774625755136
89,TXN,154836697088
90,"UNH,",459576016896
91,"UNP,",121737797632
92,"UPS,",146431475712
93,"USB,",50371756032
94,"V,",479075663872
95,"VZ,",149115535360
96,"WBA,",27109050368
97,"WFC,",158081024000
98,"WMT,",412246867968
99,XOM,434175639552
