,Ticker,Upper,Lower,BBands%
0,GOOG,126.05737,124.0998,0.03586078658745265
1,MSFT,349.28162,343.06641,0.01827613226262486
2,AAPL,186.40539,184.74559,0.12315339197493282
3,ADBE,509.65482,485.89742,0.34105499760074764
4,LAZR,7.16478,6.68206,0.36861948955916524
5,OUST,5.76295,5.27538,0.3376335705642272
6,NFLX,448.34148,431.52382,0.07588332740702401
7,U,44.62781,40.62403,0.45606152186184196
8,UPST,38.36412,36.75878,0.22501152403851912
9,PYPL,67.11334,64.87417,0.6948244215490602
10,SQ,67.73383,65.27541,0.518459010258622
11,ROKU,72.64188,69.4835,0.35350401155022193
12,NKE,115.44261,111.37786,0.5343846485023671
13,CROX,116.05168,108.77803,0.16112543221078843
14,AMZN,127.35854,125.53713,0.00706595439796223
15,SHOP,66.48514,64.53585,0.08934022131134768
16,SE,63.41856,61.11195,0.3850022327138095
17,SPOT,160.95097,149.61509,0.8702376877666294
18,HUBS,522.96781,516.4712,0.4385056206236918
19,TTD,77.61441,75.93874,0.24543018613449902
20,TDOC,25.37468,24.47483,0.5058287492359822
21,ENPH,182.74665,177.20899,0.8200232589216401
22,CHPT,9.23235,8.5684,0.4693124482265237
23,EVGO,4.48205,4.33132,0.2566177934054283
24,TSLA,263.72641,254.73735,0.7411954086411693
25,META,287.46555,278.79763,0.2690807021753747
